"Date","Price","Open","High","Low","Vol.","Change %"
"16-04-2024","15,183.70","14,995.90","15,255.65","14,971.05","","0.64%"
"15-04-2024","15,086.65","15,006.15","15,201.75","14,792.10","","-1.54%"
"12-04-2024","15,322.15","15,381.20","15,455.70","15,302.95","","-0.41%"
"10-04-2024","15,384.50","15,349.40","15,403.65","15,264.90","","0.60%"
"09-04-2024","15,293.40","15,376.55","15,398.00","15,215.25","","0.04%"
"08-04-2024","15,286.55","15,354.60","15,373.95","15,267.00","","0.25%"
"05-04-2024","15,248.20","15,169.60","15,268.55","15,121.50","","0.59%"
"04-04-2024","15,159.25","15,189.95","15,223.05","15,086.60","","0.62%"
"03-04-2024","15,065.35","14,916.75","15,076.25","14,893.20","","1.05%"
"02-04-2024","14,908.30","14,823.45","14,923.05","14,775.35","","0.99%"
"01-04-2024","14,762.15","14,458.45","14,776.05","14,456.55","","3.01%"
"28-03-2024","14,330.50","14,377.90","14,407.40","14,313.65","","0.33%"
"27-03-2024","14,283.60","14,218.95","14,362.80","14,213.65","","0.82%"
"26-03-2024","14,167.85","14,166.80","14,223.45","14,045.10","","0.05%"
"22-03-2024","14,161.40","14,049.80","14,192.65","14,024.75","","0.81%"
"21-03-2024","14,047.30","13,868.45","14,060.05","13,867.80","","2.28%"
"20-03-2024","13,733.55","13,764.15","13,811.30","13,558.70","","0.11%"
"19-03-2024","13,718.40","13,887.75","13,916.25","13,700.40","","-1.18%"
"18-03-2024","13,882.25","13,931.05","14,010.90","13,807.95","","-0.29%"
"15-03-2024","13,922.35","13,886.70","14,015.30","13,687.10","","0.21%"
"14-03-2024","13,892.70","13,380.50","13,905.50","13,284.30","","3.11%"
"13-03-2024","13,473.20","14,220.80","14,274.75","13,412.20","","-5.18%"
"12-03-2024","14,208.65","14,522.90","14,525.95","14,152.30","","-2.06%"
"11-03-2024","14,507.15","14,863.45","14,873.00","14,481.60","","-2.00%"
"07-03-2024","14,803.20","14,725.50","14,828.65","14,705.20","","0.81%"
"06-03-2024","14,684.20","14,944.85","14,945.30","14,521.25","","-1.97%"
"05-03-2024","14,979.60","15,070.80","15,089.05","14,964.45","","-0.65%"
"04-03-2024","15,077.10","15,212.15","15,235.05","15,056.35","","-0.60%"
"02-03-2024","15,168.15","15,140.05","15,189.20","15,128.60","","0.71%"
"01-03-2024","15,061.35","15,057.55","15,104.20","15,028.95","","0.64%"
"29-02-2024","14,965.05","14,888.35","15,015.20","14,691.45","","0.47%"
"28-02-2024","14,895.25","15,233.55","15,249.65","14,842.20","","-1.89%"
"27-02-2024","15,181.95","15,183.30","15,239.60","15,136.45","","0.25%"
"26-02-2024","15,143.40","15,213.20","15,243.50","15,126.55","","-0.17%"
"23-02-2024","15,169.50","15,168.10","15,197.80","15,106.00","","0.57%"
"22-02-2024","15,083.55","15,067.80","15,095.55","14,849.00","","0.61%"
"21-02-2024","14,992.15","15,164.45","15,199.05","14,960.50","","-0.78%"
"20-02-2024","15,110.70","15,224.90","15,256.85","15,087.30","","-0.40%"
"19-02-2024","15,171.00","15,188.70","15,220.10","15,151.40","","0.48%"
"16-02-2024","15,098.90","15,084.35","15,151.75","15,079.35","","0.65%"
"15-02-2024","15,002.05","14,922.45","15,022.30","14,918.85","","1.17%"
"14-02-2024","14,829.25","14,480.30","14,844.00","14,427.90","","1.29%"
"13-02-2024","14,641.05","14,572.95","14,655.10","14,253.00","","0.36%"
"12-02-2024","14,589.05","15,165.30","15,170.95","14,543.95","","-3.56%"
"09-02-2024","15,128.35","15,375.25","15,379.70","14,902.30","","-1.27%"
"08-02-2024","15,323.00","15,474.45","15,485.70","15,310.75","","-0.44%"
"07-02-2024","15,390.45","15,423.10","15,489.50","15,321.05","","0.52%"
"06-02-2024","15,310.15","15,261.60","15,340.65","15,169.80","","0.93%"
"05-02-2024","15,168.40","15,256.20","15,329.00","15,087.20","","-0.05%"
"02-02-2024","15,175.90","15,193.35","15,277.65","15,148.50","","0.61%"
"01-02-2024","15,084.20","15,147.10","15,165.80","14,947.95","","0.14%"
"31-01-2024","15,063.50","14,823.00","15,076.15","14,818.10","","2.13%"
"30-01-2024","14,749.95","14,817.35","14,867.45","14,734.75","","0.13%"
"29-01-2024","14,730.25","14,634.95","14,747.30","14,632.55","","1.28%"
"25-01-2024","14,543.80","14,523.90","14,565.55","14,447.00","","0.53%"
"24-01-2024","14,467.35","14,246.95","14,479.50","14,073.15","","1.76%"
"23-01-2024","14,217.35","14,716.95","14,739.90","14,156.60","","-2.72%"
"20-01-2024","14,614.55","14,620.80","14,661.60","14,581.60","","0.45%"
"19-01-2024","14,548.55","14,510.50","14,603.90","14,505.50","","1.07%"
"18-01-2024","14,394.95","14,386.30","14,455.60","14,042.70","","-0.01%"
"17-01-2024","14,396.60","14,432.05","14,556.35","14,337.35","","-1.05%"
"16-01-2024","14,549.05","14,627.15","14,658.20","14,406.90","","-0.27%"
"15-01-2024","14,589.00","14,645.25","14,676.05","14,509.70","","0.25%"
"12-01-2024","14,552.75","14,580.75","14,601.30","14,540.80","","0.37%"
"11-01-2024","14,498.55","14,442.25","14,517.65","14,440.20","","0.83%"
"10-01-2024","14,379.85","14,383.65","14,410.70","14,285.90","","0.20%"
"09-01-2024","14,350.90","14,403.35","14,448.75","14,336.50","","0.37%"
"08-01-2024","14,298.20","14,445.30","14,456.30","14,288.15","","-0.59%"
"05-01-2024","14,382.40","14,362.75","14,402.60","14,256.55","","0.67%"
"04-01-2024","14,286.30","14,209.25","14,297.75","14,207.75","","1.03%"
"03-01-2024","14,141.00","14,142.45","14,170.25","14,072.20","","0.12%"
"02-01-2024","14,124.25","14,173.30","14,212.60","13,960.30","","-0.04%"
"01-01-2024","14,129.70","14,081.90","14,167.95","14,074.70","","0.63%"
"29-12-2023","14,041.30","14,005.20","14,059.05","13,928.75","","0.61%"
"28-12-2023","13,956.55","13,939.50","13,968.85","13,892.95","","0.59%"
"27-12-2023","13,874.40","13,913.50","13,939.75","13,799.45","","0.30%"
"26-12-2023","13,833.00","13,848.60","13,857.50","13,790.15","","0.30%"
"22-12-2023","13,792.00","13,743.40","13,830.65","13,674.25","","1.02%"
"21-12-2023","13,652.50","13,284.90","13,673.50","13,176.20","","1.69%"
"20-12-2023","13,425.25","13,963.35","14,003.15","13,383.65","","-3.34%"
"19-12-2023","13,888.95","13,938.95","13,960.85","13,838.80","","0.08%"
"18-12-2023","13,877.85","13,869.60","13,919.60","13,784.40","","0.42%"
"15-12-2023","13,820.45","13,802.95","13,852.95","13,784.95","","0.71%"
"14-12-2023","13,722.75","13,726.95","13,775.15","13,716.85","","0.78%"
"13-12-2023","13,616.70","13,584.85","13,626.30","13,513.55","","0.64%"
"12-12-2023","13,529.60","13,611.55","13,636.50","13,493.15","","-0.12%"
"11-12-2023","13,546.35","13,530.75","13,575.30","13,523.00","","0.56%"
"08-12-2023","13,470.80","13,633.30","13,653.30","13,396.55","","-0.85%"
"07-12-2023","13,586.20","13,573.00","13,605.50","13,473.45","","0.30%"
"06-12-2023","13,545.40","13,559.20","13,567.15","13,487.60","","0.27%"
"05-12-2023","13,509.05","13,544.80","13,594.40","13,415.65","","0.15%"
"04-12-2023","13,489.05","13,559.40","13,569.20","13,439.05","","1.22%"
"01-12-2023","13,326.60","13,332.65","13,381.20","13,309.45","","0.56%"
"30-11-2023","13,252.00","13,153.95","13,274.30","13,083.10","","1.07%"
"29-11-2023","13,112.10","13,090.60","13,133.60","13,041.55","","0.75%"
"28-11-2023","13,013.90","13,059.85","13,080.50","13,001.40","","0.22%"
"24-11-2023","12,984.95","13,014.70","13,055.85","12,975.35","","0.17%"
"23-11-2023","12,962.40","12,919.40","12,997.45","12,918.45","","0.51%"
"22-11-2023","12,896.20","13,021.55","13,033.25","12,853.90","","-0.85%"
"21-11-2023","13,006.55","13,050.70","13,079.55","12,991.90","","0.19%"
"20-11-2023","12,981.50","13,024.35","13,051.25","12,952.60","","0.04%"
"17-11-2023","12,976.90","12,935.20","13,023.70","12,919.90","","0.33%"
"16-11-2023","12,933.85","12,902.10","12,974.05","12,878.80","","0.43%"
"15-11-2023","12,878.00","12,879.15","12,894.85","12,830.80","","1.11%"
"13-11-2023","12,736.75","12,706.55","12,753.75","12,631.40","","1.51%"
"10-11-2023","12,547.05","12,492.90","12,558.40","12,458.10","","0.42%"
"09-11-2023","12,494.35","12,577.90","12,581.20","12,481.50","","-0.29%"
"08-11-2023","12,530.65","12,514.85","12,573.35","12,506.60","","0.60%"
"07-11-2023","12,456.05","12,424.35","12,463.30","12,367.15","","0.58%"
"06-11-2023","12,384.35","12,354.35","12,396.60","12,333.80","","1.07%"
"03-11-2023","12,253.60","12,210.05","12,273.45","12,208.50","","1.02%"
"02-11-2023","12,130.30","12,097.00","12,142.60","12,077.95","","1.08%"
"01-11-2023","12,000.50","12,059.00","12,100.55","11,988.70","","-0.19%"
"31-10-2023","12,023.75","12,096.90","12,129.90","12,006.20","","-0.08%"
"30-10-2023","12,033.85","12,068.30","12,079.00","11,937.15","","0.07%"
"27-10-2023","12,024.90","11,886.45","12,051.55","11,885.85","","1.93%"
"26-10-2023","11,797.15","11,807.95","11,825.90","11,493.75","","-0.48%"
"25-10-2023","11,853.70","12,003.75","12,080.30","11,703.65","","-0.64%"
"23-10-2023","11,930.40","12,442.40","12,456.10","11,894.30","","-3.79%"
"20-10-2023","12,400.30","12,503.00","12,544.00","12,380.30","","-0.80%"
"19-10-2023","12,500.60","12,452.95","12,520.65","12,400.25","","0.15%"
"18-10-2023","12,482.35","12,571.00","12,590.45","12,456.65","","-0.38%"
"17-10-2023","12,530.40","12,539.35","12,563.20","12,499.90","","0.67%"
"16-10-2023","12,446.75","12,441.00","12,483.25","12,410.50","","0.32%"
"13-10-2023","12,407.45","12,403.75","12,469.70","12,386.30","","-0.14%"
"12-10-2023","12,425.20","12,391.25","12,438.50","12,389.55","","0.72%"
"11-10-2023","12,336.85","12,320.95","12,386.55","12,320.05","","0.69%"
"10-10-2023","12,252.25","12,173.90","12,262.80","12,173.40","","1.12%"
"09-10-2023","12,116.45","12,183.05","12,214.75","12,077.40","","-1.63%"
"06-10-2023","12,316.75","12,277.45","12,329.45","12,249.05","","0.64%"
"05-10-2023","12,238.55","12,243.55","12,291.70","12,194.60","","0.57%"
"04-10-2023","12,168.70","12,289.65","12,293.80","12,104.80","","-1.13%"
"03-10-2023","12,307.95","12,259.00","12,318.90","12,232.45","","0.63%"
"29-09-2023","12,230.40","12,203.05","12,266.05","12,171.80","","0.66%"
"28-09-2023","12,150.25","12,238.80","12,283.75","12,132.10","","-0.31%"
"27-09-2023","12,188.45","12,124.05","12,200.25","12,108.30","","0.72%"
"26-09-2023","12,100.75","12,077.75","12,136.85","12,058.10","","0.43%"
